budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
250,91,250,0.9821,0.01107,nsga2,250,299,0.6875,0.0412,S2,8,49,sensing
250,194,250,0.5642,0.16859,random,250,371,0.0625,0.003,S2,9,121,sensing
250,88,250,0.5624,0.17641,nsga2,250,287,0.1875,0.0429,S2,9,37,sensing
250,203,250,0.5933,0.18367,random,250,378,0.0625,0.0027,S2,10,128,sensing
250,98,250,0.7688,0.08522,nsga2,250,289,0.25,0.0322,S2,10,39,sensing
250,193,250,0.6998,0.17165,random,250,385,0.0,0.0029,S2,11,135,sensing
250,115,250,0.0403,0.52276,nsga2,250,271,0.0625,0.0396,S2,11,21,sensing
250,186,250,0.4468,0.26234,random,250,366,0.0,0.0042,S2,12,116,sensing
250,105,250,0.8544,0.03446,nsga2,250,329,0.5625,0.0643,S2,12,79,sensing
250,190,250,0.6386,0.1376,random,250,397,0.0,0.0029,S2,13,147,sensing
250,96,250,0.8038,0.06839,nsga2,250,322,0.25,0.0403,S2,13,72,sensing
250,197,250,0.673,0.12674,random,250,380,0.125,0.0026,S2,14,130,sensing
250,119,250,0.6758,0.13142,nsga2,250,289,0.25,0.0371,S2,14,39,sensing
250,191,250,0.571,0.12903,random,250,370,0.0625,0.0027,S2,15,120,sensing
250,99,250,0.4854,0.13326,nsga2,250,337,0.1875,0.0436,S2,15,87,sensing
250,191,250,0.8711,0.08562,random,250,391,0.125,0.0027,S2,16,141,sensing
250,98,250,0.6938,0.0998,nsga2,250,303,0.375,0.0377,S2,16,53,sensing
250,201,250,0.6085,0.16993,random,250,381,0.0,0.0027,S2,17,131,sensing
250,77,250,0.7948,0.0938,nsga2,250,287,0.25,0.0394,S2,17,37,sensing
250,183,250,0.7341,0.1683,random,250,359,0.0,0.0027,S2,18,109,sensing
250,81,250,0.3225,0.14323,nsga2,250,294,0.375,0.0413,S2,18,44,sensing
250,192,250,0.3695,0.25058,random,250,377,0.0625,0.0028,S2,19,127,sensing
250,110,250,0.8534,0.03025,nsga2,250,282,0.5,0.0371,S2,19,32,sensing
500,364,500,0.8734,0.06063,random,500,713,0.125,0.0058,S2,0,213,sensing
500,177,500,0.9999,0.00173,nsga2,500,598,0.875,0.098,S2,0,98,sensing
500,380,500,0.8647,0.0676,random,500,784,0.0625,0.0059,S2,1,284,sensing
500,148,500,1.0,0.0,nsga2,500,598,1.0,0.1027,S2,1,98,sensing
500,386,500,0.8487,0.07918,random,500,780,0.1875,0.0056,S2,2,280,sensing
500,163,500,1.0,0.0,nsga2,500,595,1.0,0.1182,S2,2,95,sensing
500,403,500,0.4986,0.15889,random,500,754,0.0625,0.0054,S2,3,254,sensing
500,151,500,0.8917,0.02203,nsga2,500,559,0.625,0.0863,S2,3,59,sensing
500,382,500,0.8748,0.12252,random,500,730,0.0625,0.0057,S2,4,230,sensing
500,112,500,0.3116,0.25746,nsga2,500,578,0.125,0.1766,S2,4,78,sensing
500,388,500,0.8602,0.08003,random,500,751,0.125,0.0054,S2,5,251,sensing
500,155,500,1.0,0.0,nsga2,500,614,1.0,0.0991,S2,5,114,sensing
500,388,500,0.8516,0.07551,random,500,735,0.0,0.0057,S2,6,235,sensing
500,154,500,0.9881,0.02346,nsga2,500,617,0.8125,0.11,S2,6,117,sensing
500,388,500,0.7051,0.05995,random,500,736,0.25,0.0055,S2,7,236,sensing
500,157,500,0.9724,0.00668,nsga2,500,564,0.8125,0.0948,S2,7,64,sensing
500,384,500,0.8034,0.07781,random,500,743,0.25,0.0057,S2,8,243,sensing
500,159,500,1.0,0.0,nsga2,500,572,1.0,0.1029,S2,8,72,sensing
500,394,500,0.7988,0.08149,random,500,748,0.0625,0.0056,S2,9,248,sensing
500,177,500,0.7605,0.1029,nsga2,500,545,0.3125,0.0933,S2,9,45,sensing
500,385,500,0.8041,0.11778,random,500,758,0.0625,0.0057,S2,10,258,sensing
500,185,500,0.8825,0.0343,nsga2,500,555,0.5,0.0754,S2,10,55,sensing
500,378,500,0.8664,0.07249,random,500,763,0.125,0.0062,S2,11,263,sensing
500,192,500,0.0767,0.35071,nsga2,500,521,0.25,0.0936,S2,11,21,sensing
500,377,500,0.8021,0.10036,random,500,772,0.0,0.0062,S2,12,272,sensing
500,182,500,1.0,0.0,nsga2,500,620,1.0,0.1637,S2,12,120,sensing
500,392,500,0.77,0.08874,random,500,778,0.0,0.0063,S2,13,278,sensing
500,149,500,0.9019,0.02279,nsga2,500,608,0.625,0.1185,S2,13,108,sensing
500,389,500,0.7015,0.09615,random,500,759,0.1875,0.0056,S2,14,259,sensing
500,194,500,0.9794,0.03536,nsga2,500,583,0.5625,0.1126,S2,14,83,sensing
500,388,500,0.7734,0.0756,random,500,763,0.1875,0.0059,S2,15,263,sensing
500,163,500,0.9015,0.02897,nsga2,500,619,0.5,0.1125,S2,15,119,sensing
500,388,500,0.8796,0.06526,random,500,758,0.125,0.0053,S2,16,258,sensing
500,149,500,0.8443,0.03691,nsga2,500,597,0.625,0.1018,S2,16,97,sensing
500,391,500,0.6983,0.15402,random,500,743,0.0,0.0057,S2,17,243,sensing
500,157,500,0.9773,0.00335,nsga2,500,578,0.8125,0.094,S2,17,78,sensing
500,381,500,0.8228,0.11947,random,500,743,0.0,0.0059,S2,18,243,sensing
500,135,500,0.9019,0.02301,nsga2,500,577,0.5625,0.1012,S2,18,77,sensing
500,397,500,0.5184,0.19786,random,500,760,0.0625,0.0057,S2,19,260,sensing
500,202,500,0.9581,0.00523,nsga2,500,547,0.8125,0.1032,S2,19,47,sensing
1000,755,1000,0.9319,0.04019,random,1000,1454,0.3125,0.0119,S2,0,454,sensing
1000,339,1000,0.9999,0.00173,nsga2,1000,1201,0.875,0.2515,S2,0,201,sensing
1000,754,1000,0.865,0.0659,random,1000,1546,0.125,0.0122,S2,1,546,sensing
1000,322,1000,1.0,0.0,nsga2,1000,1150,1.0,0.2461,S2,1,150,sensing
1000,765,1000,0.8621,0.05968,random,1000,1510,0.25,0.0114,S2,2,510,sensing
1000,326,1000,1.0,0.0,nsga2,1000,1159,1.0,0.2398,S2,2,159,sensing
1000,785,1000,0.8661,0.0627,random,1000,1533,0.125,0.0118,S2,3,533,sensing
1000,254,1000,0.9021,0.02193,nsga2,1000,1117,0.6875,0.2119,S2,3,117,sensing
1000,746,1000,0.9339,0.09666,random,1000,1480,0.1875,0.0123,S2,4,480,sensing
1000,202,1000,0.6564,0.18981,nsga2,1000,1281,0.125,0.4157,S2,4,281,sensing
1000,782,1000,0.905,0.06223,random,1000,1492,0.125,0.0116,S2,5,492,sensing
1000,326,1000,1.0,0.0,nsga2,1000,1185,1.0,0.2436,S2,5,185,sensing
